CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat
Augusta,51015070701,4800,78.2,24.7,32.3,11.1,8.8,9.5,8.7,33.3,6.5,5.9
Augusta,51015070702,2250,80.1,25.0,32.6,9.9,7.8,8.4,7.6,32.4,5.8,5.3
Augusta,51015070801,2293,82.4,23.6,31.9,7.7,5.8,6.4,6.3,30.3,4.7,4.1
Augusta,51015070802,4036,80.2,25.0,33.1,9.9,8.0,8.2,7.2,32.2,5.8,5.2
Augusta,51015070900,5176,81.7,25.3,35.0,11.2,9.9,8.7,7.2,31.2,6.4,6.0
Augusta,51015071000,5968,79.6,26.1,36.8,13.3,11.8,10.4,8.8,33.0,7.4,7.0
Augusta,51015071101,4817,79.3,26.2,35.7,13.3,11.4,10.7,9.0,34.1,7.5,6.9
Augusta,51015071102,6333,79.9,25.6,33.4,10.6,8.7,8.8,7.5,32.6,6.2,5.6
Augusta,51015071201,2110,80.8,24.1,32.4,9.0,6.8,7.6,7.0,31.9,5.3,4.7
Augusta,51015071202,4170,81.6,24.2,34.8,10.3,8.3,8.4,7.6,31.8,6.0,5.4
Bath,51017920101,2112,80.7,25.3,40.8,15.4,14.7,10.8,9.6,32.3,8.3,7.6
Bath,51017920102,2097,80.6,25.7,42.8,18.4,18.6,12.5,10.8,32.9,9.8,9.2
Bedford,51019030101,7719,79.7,22.7,26.4,6.7,5.2,6.2,4.9,28.2,4.5,4.3
Bedford,51019030103,7788,79.1,23.2,28.0,8.0,6.0,7.0,5.9,30.2,5.2,4.6
Bedford,51019030104,4450,79.0,23.9,31.2,10.1,8.2,8.5,7.0,30.9,6.2,5.7
Bedford,51019030202,6024,79.7,23.9,33.4,11.3,9.8,9.0,7.1,30.1,6.6,6.3
Bedford,51019030203,4724,79.0,22.6,24.7,6.4,4.5,6.2,4.9,29.2,4.3,4.0
Bedford,51019030204,4365,79.1,23.4,30.4,8.8,6.7,7.8,6.5,30.4,5.4,5.0
Bedford,51019030300,3620,80.7,23.5,36.5,12.3,10.9,9.4,7.7,30.3,6.9,6.5
Bedford,51019030401,2925,81.3,23.3,36.0,10.6,9.1,8.2,7.2,29.7,6.2,5.7
Bedford,51019030403,3347,79.6,23.8,34.4,10.9,8.9,8.7,7.7,31.1,6.3,5.6
Bedford,51019030404,3480,79.4,24.2,35.9,14.2,12.7,11.1,8.2,31.9,7.9,7.7
Bedford,51019030501,4190,78.7,24.8,36.2,12.9,11.0,10.2,8.5,32.1,7.3,6.8
Bedford,51019030503,2439,85.5,20.6,34.3,6.7,5.4,5.2,5.0,25.8,4.2,3.7
Bedford,51019030504,2858,80.7,23.2,33.2,9.8,8.3,7.9,6.8,29.2,5.8,5.4
Bedford,51019030601,3336,79.4,24.2,32.5,9.7,7.8,8.2,6.9,30.4,5.9,5.5
Bedford,51019030602,3610,79.4,23.9,33.3,9.9,7.8,8.1,7.5,30.6,5.8,5.2
Bedford,51019030603,2690,78.9,24.7,36.5,11.9,10.0,9.1,8.5,31.5,6.7,6.0
Bedford,51019030604,2595,78.2,25.3,35.2,11.7,9.7,9.2,8.0,31.9,6.7,6.1
Bedford,51019030605,3161,78.7,24.4,34.3,11.0,9.1,8.8,7.7,31.2,6.3,5.7
Bedford,51019050101,2932,78.5,26.9,46.3,27.6,29.2,19.2,13.1,35.5,14.3,14.5
Bedford,51019050102,3209,80.3,23.2,36.7,12.4,10.7,9.7,8.6,31.4,7.1,6.6
Bland,51021040100,3646,78.2,23.6,34.2,12.0,10.3,9.8,8.8,32.2,6.9,6.7
Bland,51021040200,2624,80.5,24.6,36.1,11.6,10.2,9.0,8.0,31.9,6.6,6.1
Botetourt,51023040100,3343,80.6,25.0,38.4,13.8,12.8,10.2,8.4,30.8,7.6,7.2
Botetourt,51023040200,4219,80.0,25.1,34.2,11.2,9.6,8.9,7.6,30.8,6.5,6.0
Botetourt,51023040301,3002,80.4,23.7,31.8,10.2,8.3,8.4,7.2,30.1,6.0,5.6
Botetourt,51023040303,4193,82.7,21.8,32.0,7.3,5.5,6.1,6.3,28.8,4.6,3.8
Botetourt,51023040304,3908,81.0,23.7,28.8,7.6,5.8,6.8,5.6,28.8,4.9,4.5
Botetourt,51023040401,2236,80.2,24.3,34.0,10.6,8.7,8.6,7.7,30.5,6.2,5.7
Botetourt,51023040402,5030,80.5,23.5,31.1,9.4,7.2,8.0,7.4,30.3,5.6,5.1
Botetourt,51023040501,6360,80.4,24.3,31.2,9.3,7.5,7.9,6.7,29.8,5.6,5.2
Botetourt,51023040502,1305,80.5,24.3,31.2,9.4,7.7,8.0,6.7,29.7,5.7,5.3
Bristol,51520020100,3709,79.3,27.0,43.9,20.5,21.0,14.0,11.4,34.1,10.9,10.4
Bristol,51520020201,2346,78.2,28.5,47.6,30.4,34.5,20.0,14.4,35.2,15.6,16.1
Bristol,51520020202,2479,81.0,24.0,32.9,9.5,7.8,7.7,6.9,30.8,5.8,5.2
Bristol,51520020300,2972,77.7,28.2,42.9,23.3,24.2,16.4,12.2,35.7,12.2,12.1
Bristol,51520020400,5713,80.5,24.5,33.3,10.1,8.5,8.2,7.2,31.4,6.1,5.6
Brunswick,51025930100,3382,82.5,22.1,43.0,24.2,23.9,17.7,11.5,36.6,12.2,12.4
Brunswick,51025930201,2101,81.1,20.8,42.0,28.2,28.2,21.5,12.8,37.8,14.3,15.5
Brunswick,51025930202,1595,72.6,17.1,38.4,35.3,34.0,29.8,19.1,40.2,18.5,21.6
Brunswick,51025930203,3848,83.3,20.9,43.8,28.8,29.5,21.4,11.9,37.9,14.5,15.7
Brunswick,51025930301,1604,84.4,21.1,41.8,19.5,18.9,14.0,9.7,33.9,9.9,9.9
Brunswick,51025930302,3319,82.4,21.0,36.2,15.6,13.6,12.7,8.9,34.5,8.4,8.4
Buchanan,51027010100,4401,80.1,27.8,42.6,18.0,17.7,12.0,10.4,33.9,9.5,8.8
Buchanan,51027010200,2558,79.1,29.4,51.9,29.4,32.1,17.2,15.3,35.9,13.9,13.2
Buchanan,51027010300,2852,80.0,25.9,39.5,14.1,12.1,10.0,9.6,34.0,7.4,6.6
Buchanan,51027010400,2032,80.5,28.9,44.9,22.1,24.4,13.8,10.7,32.9,11.5,11.3
Buchanan,51027010500,1184,80.2,28.4,48.6,24.5,26.8,15.0,12.8,33.9,12.2,11.8
Buchanan,51027010600,3951,77.7,24.5,37.6,17.0,14.9,13.0,11.4,34.8,9.0,8.8
Buchanan,51027010700,3377,80.3,27.5,44.0,19.5,19.5,12.5,11.1,33.8,9.8,9.1
Buckingham,51029930101,3791,80.7,24.5,41.0,21.2,20.4,15.6,11.1,36.0,10.8,10.8
Buckingham,51029930102,2927,82.1,22.8,40.4,20.0,18.2,15.3,10.1,36.9,10.1,10.2
Buckingham,51029930201,5526,78.0,21.2,36.7,20.7,18.4,17.1,11.9,36.4,11.0,11.7
Buckingham,51029930202,4580,80.7,24.5,38.3,17.6,16.3,13.5,9.8,35.1,9.4,9.2
